flops,loss,accuracy
1048576,0.7141277947425843,0.527
2097152,0.7267123203277588,0.542
3145728,0.7102128763198853,0.495
4194304,0.7095606346130371,0.497
5242880,0.7115637016296387,0.522
6291456,0.7141476497650147,0.527
7340032,0.7052583651542663,0.514
8388608,0.6989277224540711,0.492
9437184,0.7058026704788208,0.528
10485760,0.7035810909271241,0.515
11577216,0.6988199472427368,0.504
12625792,0.6964757332801819,0.499
13674368,0.6997477760314942,0.52
14722944,0.6984792084693908,0.508
15771520,0.6930550699234008,0.476
16820096,0.6920635042190552,0.483
17868672,0.6975342874526977,0.498
18917248,0.6956829223632812,0.501
19965824,0.6953665494918824,0.495
21014400,0.6965012140274048,0.519
22105856,0.6935005168914795,0.481
23154432,0.6954420652389527,0.508
24203008,0.6971568837165832,0.521
25251584,0.6937423257827758,0.477
26300160,0.6945057082176208,0.515
27348736,0.6989155712127686,0.547
28397312,0.6940024251937866,0.506
29445888,0.6939749097824097,0.504
30494464,0.6941742496490478,0.528
31543040,0.6926025199890137,0.513
32634496,0.6950749726295471,0.538
33683072,0.6927289981842041,0.501
34731648,0.693030595779419,0.503
35780224,0.6931519231796265,0.537
36828800,0.6932365655899048,0.52
37877376,0.6937633171081543,0.473
38925952,0.6934246339797974,0.52
39974528,0.6924778738021851,0.517
41023104,0.6947904071807861,0.492
42071680,0.6937448091506958,0.526
43163136,0.6940191178321838,0.491
44211712,0.6943736963272095,0.537
45260288,0.693683307647705,0.494
46308864,0.6934640517234802,0.491
47357440,0.6929688930511475,0.53
48406016,0.6952554273605347,0.509
49454592,0.6934277849197388,0.505
50503168,0.6950504994392395,0.504
51551744,0.6932642993927002,0.518
52600320,0.6931243028640747,0.494
53691776,0.692966628074646,0.5
54740352,0.6948219747543335,0.503
55788928,0.6933138031959534,0.507
56837504,0.6937531819343566,0.506
57886080,0.694935767173767,0.503
58934656,0.6947891864776611,0.519
59983232,0.6927434206008911,0.506
61031808,0.6929101991653442,0.49
62080384,0.6944665875434876,0.492
63128960,0.6933314490318299,0.502
64220416,0.692753791809082,0.487
65268992,0.6952803859710693,0.495
66317568,0.6950572357177734,0.497
67366144,0.6956767687797546,0.48
68414720,0.6930198574066162,0.495
69463296,0.6947898707389831,0.475
70511872,0.6940351438522339,0.501
71560448,0.6939224309921265,0.498
72609024,0.6930002408027649,0.513
73657600,0.6961558136940003,0.521
74749056,0.6937763338088989,0.496
75797632,0.6916184544563293,0.489
76846208,0.6931518158912658,0.472
77894784,0.6929426202774048,0.525
78943360,0.6933314547538757,0.501
79991936,0.6936286487579346,0.49
81040512,0.6945510749816894,0.5
82089088,0.6947193031311035,0.529
83137664,0.6917693829536438,0.506
84186240,0.6931883478164673,0.52
85277696,0.6920174522399902,0.474
86326272,0.6943135585784912,0.537
87374848,0.6923714666366577,0.498
88423424,0.6952943181991578,0.504
89472000,0.6943399848937988,0.506
90520576,0.6937738666534424,0.492
91569152,0.6929957485198974,0.517
92617728,0.6921270408630371,0.512
93666304,0.6929168920516968,0.49
94714880,0.6940223112106323,0.512
95806336,0.693844539642334,0.512
96854912,0.6951738638877869,0.497
97903488,0.6907716360092163,0.511
98952064,0.693904299736023,0.505
100000640,0.6931490378379822,0.504
101049216,0.6941402139663696,0.505
102097792,0.6937811560630799,0.5
103146368,0.6929130725860596,0.491
104194944,0.6940228433609009,0.499
105243520,0.6937237367630005,0.487
106334976,0.6932200441360473,0.482
107383552,0.695290653705597,0.513
108432128,0.6937235293388366,0.507
109480704,0.6939433646202088,0.508
110529280,0.6942333483695984,0.5
111577856,0.6933765201568604,0.505
112626432,0.6932325563430786,0.483
113675008,0.6947567405700683,0.497
114723584,0.6927541303634643,0.516
115772160,0.6929867458343506,0.495
116863616,0.6938805465698242,0.49
117912192,0.6928743019104003,0.458
118960768,0.6940218210220337,0.505
120009344,0.6932813520431519,0.499
121057920,0.6933873534202576,0.471
122106496,0.6934129838943481,0.519
123155072,0.6943551721572876,0.487
124203648,0.6947929840087891,0.518
125252224,0.6929126539230347,0.519
126300800,0.6943165597915649,0.517
127392256,0.6942827758789063,0.51
128440832,0.6950086898803711,0.521
129489408,0.695164584159851,0.517
130537984,0.6953802142143249,0.508
131586560,0.693341736316681,0.492
132635136,0.6931346592903137,0.503
133683712,0.6934320945739746,0.512
134732288,0.6925333094596863,0.476
135780864,0.6936077423095703,0.52
136829440,0.6948794274330139,0.503
137920896,0.6953566842079163,0.528
138969472,0.6932014741897583,0.52
140018048,0.693345211982727,0.486
141066624,0.6940725660324096,0.512
142115200,0.6939951419830322,0.483
143163776,0.6948871116638183,0.464
144212352,0.692193468093872,0.503
145260928,0.6936567902565003,0.495
146309504,0.694066559791565,0.508
147358080,0.6928924188613892,0.518
148449536,0.6926339898109436,0.519
149498112,0.6941835570335388,0.494
150546688,0.6930898694992066,0.509
151595264,0.6945375165939331,0.495
152643840,0.6928824467658996,0.502
153692416,0.6927218008041381,0.499
154740992,0.6927370805740356,0.468
155789568,0.6938948383331299,0.52
156838144,0.6927347326278687,0.519
157886720,0.6941966705322266,0.502
158978176,0.6935018210411071,0.509
160026752,0.6929731731414794,0.501
161075328,0.692523715019226,0.49
162123904,0.6927668523788452,0.468
163172480,0.6937168669700623,0.527
164221056,0.6941089510917664,0.481
165269632,0.6913518104553222,0.482
166318208,0.6932842860221863,0.473
167366784,0.6927751927375794,0.492
168415360,0.692868797302246,0.495
169506816,0.6934209671020508,0.512
170555392,0.694009259223938,0.507
171603968,0.6936302185058594,0.494
172652544,0.6922961177825928,0.5
173701120,0.6930971145629883,0.496
174749696,0.6938687624931336,0.508
175798272,0.6933499326705933,0.515
176846848,0.6924796876907349,0.512
177895424,0.6942370748519897,0.504
178944000,0.6926460475921631,0.519
180035456,0.6934662065505981,0.481
181084032,0.6942171039581299,0.512
182132608,0.6929553728103638,0.508
183181184,0.6934021282196045,0.518
184229760,0.6932526502609253,0.509
185278336,0.6941102542877198,0.47
186326912,0.6939452466964722,0.482
187375488,0.6917761173248291,0.502
188424064,0.6926192750930786,0.51
189472640,0.69235719871521,0.503
190564096,0.6926977415084838,0.484
191612672,0.6939329271316528,0.496
192661248,0.6935878624916076,0.493
193709824,0.6930549259185791,0.463
194758400,0.6944215393066406,0.503
195806976,0.6924364147186279,0.489
196855552,0.6923354744911194,0.512
197904128,0.6937830824851989,0.507
198952704,0.6929646692276001,0.475
200001280,0.6921656847000122,0.495
201092736,0.6935654792785645,0.505
202141312,0.69398979139328,0.507
203189888,0.6920623044967651,0.493
204238464,0.693750081062317,0.511
205287040,0.6951757416725158,0.516
206335616,0.6934714441299439,0.497
207384192,0.6935180568695068,0.503
208432768,0.6947238836288452,0.509
209481344,0.6925338835716247,0.509
210529920,0.6923012704849243,0.473
211621376,0.6941384510993958,0.49
212669952,0.6928865222930908,0.488
213718528,0.6951903610229492,0.495
214767104,0.6933471574783325,0.503
215815680,0.6934729166030884,0.507
216864256,0.6947542848587036,0.492
217912832,0.6943709306716919,0.502
218961408,0.6928766317367554,0.502
220009984,0.6933378686904907,0.501
221058560,0.6932424297332763,0.493
222150016,0.6914015040397644,0.502
223198592,0.6923058576583863,0.492
224247168,0.6927323503494263,0.444
225295744,0.6921024541854859,0.488
226344320,0.6951827583312988,0.507
227392896,0.6929402413368225,0.482
228441472,0.6931026072502137,0.529
229490048,0.6926780967712403,0.499
230538624,0.6939224972724914,0.507
231587200,0.6925816931724549,0.517
232678656,0.6939077491760254,0.497
233727232,0.6946014642715455,0.499
234775808,0.6939766802787781,0.516
235824384,0.6933419036865235,0.503
236872960,0.6930924682617188,0.505
237921536,0.6934923100471496,0.483
238970112,0.6936507625579834,0.496
240018688,0.6939364433288574,0.506
241067264,0.691953558921814,0.507
242115840,0.6926321730613708,0.461
243207296,0.6944733848571777,0.49
244255872,0.6931437072753907,0.512
245304448,0.6931987571716308,0.497
246353024,0.6938103642463684,0.506
247401600,0.6939161410331726,0.506
248450176,0.6926725945472717,0.497
249498752,0.692146032333374,0.495
250547328,0.6948760542869568,0.484
251595904,0.6921160764694214,0.477
252644480,0.6932343997955323,0.514
253735936,0.692935845375061,0.484
254784512,0.6939346017837524,0.517
255833088,0.6932752084732056,0.509
256881664,0.6942032260894775,0.515
257930240,0.6932305369377136,0.524
258978816,0.693311945438385,0.51
260027392,0.6936658225059509,0.492
261075968,0.6933002071380615,0.496
262124544,0.6933578839302063,0.503
263173120,0.6921680183410645,0.489
264264576,0.6923826513290405,0.502
265313152,0.6930006728172302,0.499
266361728,0.6924748640060425,0.52
267410304,0.6943447194099426,0.463
268458880,0.6934460263252258,0.495
269507456,0.6934457182884216,0.493
270556032,0.6941901950836181,0.514
271604608,0.6933147525787353,0.489
272653184,0.6945320138931275,0.498
273701760,0.6933427715301513,0.485
274793216,0.6941103267669678,0.507
275841792,0.6931088180541992,0.496
276890368,0.6935538263320923,0.469
277938944,0.6949439516067505,0.544
278987520,0.693230320930481,0.482
280036096,0.6927605657577515,0.479
281084672,0.6929380378723144,0.477
282133248,0.6928067164421081,0.513
283181824,0.6941134371757507,0.488
284230400,0.6933700456619263,0.492
285321856,0.693862096786499,0.525
286370432,0.6925364360809326,0.484
287419008,0.6934451808929444,0.511
288467584,0.6946094398498535,0.512
289516160,0.6934774541854858,0.509
290564736,0.6919948811531067,0.498
291613312,0.6932617344856262,0.484
292661888,0.6939549245834351,0.504
293710464,0.6929450402259827,0.481
294759040,0.6932142877578735,0.488
295850496,0.693416220664978,0.511
296899072,0.6926381802558899,0.507
297947648,0.6938239407539367,0.498
298996224,0.6932752504348755,0.492
300044800,0.6924309911727905,0.483
301093376,0.692459433555603,0.502
302141952,0.6934409475326538,0.491
303190528,0.6937086057662963,0.51
304239104,0.6935603055953979,0.504
305287680,0.691873291015625,0.482
306379136,0.6942362604141236,0.511
307427712,0.6919169692993165,0.462
308476288,0.6917866826057434,0.481
309524864,0.6933987140655518,0.486
310573440,0.6929524459838867,0.504
311622016,0.6933412871360779,0.5
312670592,0.691925440788269,0.491
313719168,0.6945520858764649,0.516
314767744,0.6935656709671021,0.507
